companyName,arr,country,domain,growthRate,headquarters,numberOfLocations,source,teamSize,website,year
Grab A Grub Services,5000,India,Logistics & Transportation,High,"Mumbai, India",6,Ambition box,200,grab.in,2013
TCI Express,12080,India,Logistics & Transportation,Low,"Gurugram , India",7,Ambition box,5000,tciexpress.in,1996
CJ Darcl Logistics Limited,46200,India,Logistics & Transportation,Low,"Gurgaon/Gurugram, Haryana, India",5,Ambition box,10000,cjdarcl.com,1986
DHL Global Forwarding,70,India,Logistics & Transportation,High,Germany,20,Ambition box,10000,logistics.dhl,1815
Allcargo Logistics,30000,India,Logistics & Transportation,Medium,"Mumbai, Maharashtra, India",12,Ambition box,10000,allcargologistics.com,1993
Transport Corporation Of India,0,India,Logistics & Transportation,Low,"Gurgaon, India",9,Ambition box,10000,tcil.com,1958
DB Schenker,24,India,Logistics & Transportation,Low,"Gurgaon / Gurugram, Haryana, India",5,Ambition box,5000,dbschenker.com,1990
Maersk Line,47,India,Logistics & Transportation,Medium,"Copenhagen, Copenhagen, Denmark",5,Ambition box,5000,maersklinelimited.com,1904
Varuna Integrated Logistics,8190,India,Logistics & Transportation,Low,"Gurgaon/Gurugram, Haryana, India",5,Ambition box,5000,varuna.net,1996
Honda Logistics,5950,India,Logistics & Transportation,Medium,"Alwar, Rajasthan, India",2,Ambition box,500,honda-logisticsIndia.co.in,2005
Loadshare Networks,3480,India,Logistics & Transportation,High,"Bangalore,Karnataka, India",2,Ambition box,1000,loadshare.net,2017
FM LOGISTIC,126000,India,Logistics & Transportation,Low,"Lorraine, France",7,Ambition box,5000,fmlogistic.com,1967
Yusen Logistics,133000,India,Logistics & Transportation,Low,"Gurgaon / Gurugram, Haryana, India",2,Ambition box,1000,yusen-logistics.com,1955
Hyundai Glovis,1769000,India,Logistics & Transportation,Low,"Gangnam-gu, Seoul, South Korea",5,Ambition box,500,glovis.net,2001
Aka Logistics,5090,India,Logistics & Transportation,Medium,"Kolkata, West Bengal, India",3,Ambition box,5000,akalogistics.com,2008
V-Xpress,2500,India,Logistics & Transportation,Medium,"Chembur, Maharashtra, India",5,Ambition box,5000,vxpress.in,2002
Associated Road Carriers,17200,India,Logistics & Transportation,Medium,"Hyderabad/Secunderabad, Telangana, India",2,Ambition box,5000,arclimited.com,1972
Speed Movers Logistics Pvt.Ltd.,3425,India,Logistics & Transportation,Medium,"Indore, Madhya Pradesh",2,Ambition box,50,http://www.speedmovers.in/,1975
IGSL LOGISTICS LLP,0,India,Logistics & Transportation,Medium,Bhopal,2,Ambition box,50,https://www.igsllogistics.in/,2019
Carryfast Logistics Private Limited,0,India,Logistics & Transportation,High,"Indore, Madhya Pradesh",4,Ambition box,500,https://www.carryfastlogistics.com,1976
Life Care Logistic Pvt. Ltd.,1320,India,Logistics & Transportation,Medium,"Indore, Madhya Pradesh",1,Ambition box,5000,http://lifecarelogistic.com/,1996
harsh transport company,3560,India,Logistics & Transportation,High,"Bhopal,",5,Ambition box,500,http://www.harshexpress.com/,1997
Empire Logipark,3246,India,Logistics & Transportation,High,"Howah, West Bengal",2,Ambition box,50,https://empirelogisticsco.com/,2020
Jet Trade,4450,India,Logistics & Transportation,High,Indore,2,Ambition box,50,http://jettradelogistics.in/,1979
Amrera Great Solutions Pvt Ltd,342,India,Logistics & Transportation,Low,"Indore, Madhya Pradesh",5,Ambition box,50,http://www.agstask.com/,1987
Blue Dart Express Ltd.,50000,India,Logistics & Transportation,High,"Mumbai,",200,Ambition box,12000,bluedart.com,1983
Agility,32287,India,Logistics & Transportation,Medium,"Mumbai,",9,Ambition box,16000,https://www.agility.com,1979
Flyjac Logistics,2570,India,Logistics & Transportation,High,chennai,61,Ambition box,3500,https://www.flyjaclogistics.com,1990
Agarwal Packers and Movers Limited,6038,India,Logistics & Transportation,Low,delhi,120,Ambition box,3000,https://www.agarwalpackers.com,1987
CEVA Logistics,1518,India,Logistics & Transportation,Low,mumbai,75,Ambition box,10000,https://www.cevalogistics.com,2005
DSV - Global Transport and Logistics,2314,India,Logistics & Transportation,Low,hq global office pan india,30,Ambition box,76000,https://www.dsv.com/en-in,1976
Orix Auto Infrastructure Services,41500,India,Logistics & Transportation,Medium,mumbai,20,Ambition box,1100,https://www.orixindia.com,1995
Ecom Express,49800,India,Logistics & Transportation,Low,Gurugram,"3,000",Ambition box,45000,ecomexpress.in,2012
TVS Supply Chain Solutions,41500,India,Logistics & Transportation,Low,Chennai,150,Ambition box,15000,tvsscs.com,2004
DTDC Express Ltd.,12450,India,Logistics & Transportation,Medium,Bangalore,580,Ambition box,15000,dtdc.com,1990
Patel Integrated Logistics,4980,India,Logistics & Transportation,Medium,Mumbai,500,Ambition box,15000,patel-india.com,1959
Spoton Logistics,12450,India,Logistics & Transportation,High,Bangalore,270,Ambition box,3000,spoton.co.in,2012
Stellar Value Chain Solutions,41500,India,Logistics & Transportation,Medium,Mumbai,30,Ambition box,5000,stellarvaluechain.com,2016
XpressBees,24900,India,Logistics & Transportation,Medium,Pune,"3,000",Ambition box,15000,xpressbees.com,2015
Rivigo,16600,India,Logistics & Transportation,High,Gurugram,70,Ambition box,3500,rivigo.com,2014
Navbharat Logistics,1660,India,Logistics & Transportation,Medium,Mumbai,12,Ambition box,"1,000",navbharat.net,1984
Aramex India,4980,India,Logistics & Transportation,Low,Mumbai,50,Ambition box,1500,aramex.com,1996
VRL Logistics,24900,India,Logistics & Transportation,High,Hubli,"1,000",Ambition box,15000,vrlgroup.in,1976
Snowman Logistics,6640,India,Logistics & Transportation,Low,Bangalore,31,Ambition box,"2,000",snowman.in,1993
GEFCO India,5810,India,Logistics & Transportation,High,Gurgaon,20,Ambition box,1500,gefco.net,1980
JUSDA India Supply Chain Mgmt.,24900,India,Logistics & Transportation,Medium,Pune,60,Ambition box,"5,000",jusdaindia.com,2008
Kerry Indev Logistics,8300,India,Logistics & Transportation,Medium,Chennai,20,Ambition box,"2,000",indevlogistics.com,1984
Agarwal Packers & Movers Ltd.,12450,India,Logistics & Transportation,Low,Delhi NCR,100,Ambition box,3500,agarwalpackers.com,1987
Sical Logistics Ltd.,6640,India,Logistics & Transportation,High,Chennai,12,Ambition box,1500,sical.in,1955
Liladhar Pasoo Group,4980,India,Logistics & Transportation,Medium,Mumbai,20,Ambition box,800,lpgroup.com,1919
Aegis Logistics Ltd.,20750,India,Logistics & Transportation,Medium,Mumbai,15,Ambition box,1500,aegisindia.com,1956
BLR Logistiks (India) Ltd.,5810,India,Logistics & Transportation,Medium,Mumbai,80,Ambition box,900,blrlogistiks.com,1968
Rhenus Logistics India,12450,India,Logistics & Transportation,Medium,Mumbai,35,Ambition box,1200,rhenus.com,2008
SARR Freights Ltd.,4150,India,Logistics & Transportation,Medium,Gurgaon,15,Ambition box,800,sarrfreights.com,1987
Arshiya Limited,8300,India,Logistics & Transportation,Medium,Mumbai,12,Ambition box,"1,000",arshiyalimited.com,1999
Expressit Logistics Worldwide Ltd.,4150,India,Logistics & Transportation,High,Mumbai,30,Ambition box,600,expressit.in,1995
Sarjak Container Lines Pvt. Ltd.,4150,India,Logistics & Transportation,Low,Mumbai,20,Ambition box,800,sarjak.com,2003
Jayem Logistics Pvt. Ltd.,8300,India,Logistics & Transportation,Medium,Bangalore,25,Ambition box,1200,jayemlogistics.in,1986
Capricon Logistics Pvt. Ltd.,3320,India,Logistics & Transportation,Low,Mumbai,18,Ambition box,600,capriconlogistics.com,2002
URO Logistics Pvt. Ltd.,2490,India,Logistics & Transportation,High,Mumbai,60,Ambition box,500,urologistics.com,1990
Navbharat Shipping India Ltd.,4980,India,Logistics & Transportation,High,Mumbai,15,Ambition box,700,navbharatshipping.com,1993
Om Logistics Ltd.,24900,India,Logistics & Transportation,Medium,Mumbai,500,Ambition box,15000,omlogistics.co.in,1999
Adani Logistics Ltd.,41500,India,Logistics & Transportation,Low,Ahmedabad,20,Ambition box,15000,adaniports.com,2005
Indelox Services Pvt. Ltd.,1660,India,Logistics & Transportation,Low,Chennai,12,Ambition box,400,indelox.com,2000
Continental Carriers Pvt. Ltd.,3320,India,Logistics & Transportation,High,Delhi NCR,15,Ambition box,500,ccil.com,1957
BSA Logistics Pvt. Ltd.,2490,India,Logistics & Transportation,Low,Mumbai,15,Ambition box,400,bsalogistics.com,1990
Ace Express Logistics Pvt. Ltd.,2075,India,Logistics & Transportation,High,Mumbai,10,Ambition box,300,acex.in,2003
Freightwalla Pvt. Ltd.,1660,India,Logistics & Transportation,Medium,Mumbai,6,Ambition box,200,freightwalla.com,2017
Varuna Integrated Logistics Pvt. Ltd.,8300,India,Logistics & Transportation,Medium,Mumbai,50,Ambition box,1200,varuna.net.in,1996
Delhi Cargo Service Center Pvt. Ltd.,4150,India,Logistics & Transportation,High,Delhi NCR,1,Ambition box,600,dcscexpress.com,2008
Global Logistics Solutions India Pvt. Ltd.,2075,India,Logistics & Transportation,Low,Mumbai,10,Ambition box,400,glsindia.com,2006
TCI Supply Chain Solutions,20750,India,Logistics & Transportation,High,Mumbai,300,Ambition box,8000,tciscs.com,1958
ProConnect Supply Chain Solutions,12450,India,Logistics & Transportation,High,Bangalore,50,Ambition box,2000,proconnect.co.in,2012
Jeena & Company,20750,India,Logistics & Transportation,High,Mumbai,30,Ambition box,4000,jeena.com,1900
Kuehne + Nagel India Pvt. Ltd.,49800,India,Logistics & Transportation,High,Chennai,70,Ambition box,3000,kuehne-nagel.com,1890
Balaji Mariline Pvt. Ltd.,3320,India,Logistics & Transportation,High,Mumbai,15,Ambition box,500,balajimariline.com,1993
Seaways Shipping & Logistics Ltd.,20750,India,Logistics & Transportation,Low,Mumbai,30,Ambition box,2500,seawaysindia.com,1989
Falcon Autotech Pvt. Ltd.,1660,India,Logistics & Transportation,Medium,Bangalore,3,Ambition box,400,falconautotech.com,2004
KWE India Pvt. Ltd.,5810,India,Logistics & Transportation,High,Mumbai,25,Ambition box,1200,kwe.com,2007
UTI Transport Solutions Ltd.,8300,India,Logistics & Transportation,High,Delhi NCR,180,Ambition box,2000,utitsl.com,1968
Connect India E-commerce Pvt. Ltd.,1660,India,Logistics & Transportation,Low,Mumbai,12,Ambition box,500,connectindia.com,2015
Shree Karni Logistics Pvt. Ltd.,2075,India,Logistics & Transportation,Low,Mumbai,20,Ambition box,300,shreekarnilogistics.com,2008
Total Transport Systems Ltd.,8300,India,Logistics & Transportation,Low,Ahmedabad,40,Ambition box,1200,ttlindia.com,1994
Continental Warehousing Corporation Ltd.,16600,India,Logistics & Transportation,High,Mumbai,50,Ambition box,1200,cwcl.in,1997
Premier Logistics Ltd.,4150,India,Logistics & Transportation,Low,Mumbai,15,Ambition box,800,premierlogistics.com,2001
Sattva Logistics Group,5810,India,Logistics & Transportation,Low,Chennai,25,Ambition box,1200,sattvagroup.in,1993
Express Roadways Pvt. Ltd.,3320,India,Logistics & Transportation,Medium,Mumbai,40,Ambition box,800,expressroadways.com,1993
Blackbuck Logistics Pvt. Ltd.,4150,India,Logistics & Transportation,Medium,Mumbai,60,Ambition box,2500,blackbuck.com,2015
ProConnect Integrated Logistics,8300,India,Logistics & Transportation,Low,Chennai,172,Ambition box,726,www.proconnect.co.in,2012
Sequel Logistics,2075,India,Logistics & Transportation,Medium,Bangalore,90,Ambition box,5000,https://sequelglobal.com/,2004
Holisol Logistics,1660,India,Logistics & Transportation,Medium,Delhi,3,Ambition box,750,http://www.holisollogistics.com,2009
CMA CGM Global Business Services,1234,India,Logistics & Transportation,Medium,Chennai,170,Ambition box,5000,https://www.cmacgm-group.com/en,1978
The Professional Couriers,1125,India,Logistics & Transportation,High,Mumbai,2500,Ambition box,10000,www.tpcindia.com,1987
AAJ Supply Chain Management,16600,India,Logistics & Transportation,High,"Bangalore, Karnataka, India",6,Ambition box,500,https://www.aajlogistics.com/,2009
Trackon Courier,41500,India,Logistics & Transportation,Medium,"New Delhi, Delhi, India",1400,Ambition box,593,https://www.trackon.in/,2002
Inland World Logistics,8300,India,Logistics & Transportation,Low,"Surat, Gujarat, India",350,Ambition box,5000,https://www.inlandworldlogistics.com/,2004
TNT Express,83000,India,Logistics & Transportation,High,"Hoofddorp, Netherlands",60,Ambition box,50000,https://www.tnt.com/,1971
LetsTransport,49800,India,Logistics & Transportation,High,"Bangalore, Karnataka, India",200,Ambition box,642,https://www.letstransport.in/,2015
Blowhorn,33200,India,Logistics & Transportation,Low,"Bangalore, Karnataka, India",20,Ambition box,200,https://www.blowhorn.com/,2014
Sugam Parivahan,24900,India,Logistics & Transportation,High,"Kolkata, West Bengal, India",287,Ambition box,5000,https://www.sugamgroup.com/,2007
UGC Supply Chain Solutions,4150,India,Logistics & Transportation,Low,Delhi,20,Ambition box,1119,https://www.ugc.ind.in/,1999
Tci Freight,498000,India,Logistics & Transportation,Low,"Gurgaon, Haryana, India",700,Ambition box,30000,https://www.tcil.com/,1958
Tonglit Autogistic,4150,India,Logistics & Transportation,Low,Jaipure,1500,Ambition box,200,https://tlautogistic.com/,2010
20Cube Logistics,83000,India,Logistics & Transportation,Low,Singapore,58,Ambition box,500,https://www.20cube.com/,2011
UPS Supply Chain Solutions,249000,India,Logistics & Transportation,Low,"Atlanta, Georgia, USA",10,Ambition box,500000,https://www.ups.com/us/en/supply-chain-solutions.page,1907
Radhakrishna Foodland,41500,India,Logistics & Transportation,Medium,"Mumbai, Maharashtra, India",10,Ambition box,1000,https://www.rkfoodland.com/,1987
KerryIndev Logistics,83000,India,Logistics & Transportation,Medium,"Chennai, Tamil Nadu, India",27,Ambition box,5000,https://www.kerryindev.com/,1984
Vulcan Express,1840,India,Logistics & Transportation,Low,"Bangalore, Karnataka, India",10,Ambition box,375,https://vulcanxpreess.com/,2013
NTC Logistics India,41500,India,Logistics & Transportation,High,"Chennai, Tamil Nadu, India",25,Ambition box,5000,https://www.ntclogistics.in/,1998
Xpo Logistics,83000,India,Logistics & Transportation,Low,"Greenwich, Connecticut, USA",1000,Ambition box,42000,https://www.xpo.com/,1989
SYNCHRONIZED SUPPLY SYSTEMS,830,India,Logistics & Transportation,High,Mumbai,5,Ambition box,400,https://synchronized.in,2007
Nippon Konpo,83000,India,Logistics & Transportation,Medium,"Tokyo, Japan",10,Ambition box,60000,https://www.nipponexpress.com/,1937
Lynk,16600,India,Logistics & Transportation,High,"Bangalore, Karnataka, India",10,Ambition box,200,https://www.lynklogistics.com/,2015
Capricorn Logistics,41500,India,Logistics & Transportation,Medium,"Mumbai, Maharashtra, India",5,Ambition box,1000,https://www.capricornlogistics.com/,2001
Expeditors International,249000,India,Logistics & Transportation,Medium,"Seattle, Washington, USA",350,Ambition box,18000,https://www.expeditors.com/,1979
Bhadra International,8300,India,Logistics & Transportation,Medium,"Chennai, Tamil Nadu, India",10,Ambition box,500,https://www.bhadrainternational.com/,1999
Carryfast group,24900,India,Logistics & Transportation,High,"Mumbai, Maharashtra, India",15,Ambition box,1000,https://www.carryfast.in/,2006
Express Roadways,8340,India,Logistics & Transportation,Low,"New Delhi, Delhi, India",40,Ambition box,500,https://www.expressroadways.com/,2000
Emiza Supply Chain Services Private Limited,33200,India,Logistics & Transportation,Medium,"Mumbai, Maharashtra, India",12,Ambition box,150,https://www.emiza.in/,2019
Trafigura,83000,India,Logistics & Transportation,Low,Singapore,5,Ambition box,12000,https://www.trafigura.com/,1993
Scorpion Express,4150,India,Logistics & Transportation,Low,Mumbai,5,Ambition box,180,https://www.scorpionexpress.com/,2000
Overnite Express,16600,India,Logistics & Transportation,Medium,"New Delhi, Delhi, India",120,Ambition box,5000,https://www.overniteexpress.com/,1987
Shyplite,16600,India,Logistics & Transportation,Medium,"Gurgaon, Haryana, India",5,Ambition box,200,https://www.shyplite.com/,2016
Arunachala Logistics,1000,India,Logistics & Transportation,High,"Hyderabad, Telangana, India",2,Ambition box,5000,http://www.arunachala.biz,2003
Sigma Supply Chain Solutions,1000,India,Logistics & Transportation,Low,"Noida, Uttar Pradesh, India",2,Ambition box,5000,http://www.sigmascs.com,2007
ATC (Assam),0,India,Logistics & Transportation,Medium,"New?Delhi, Delhi, India",4,Ambition box,1000,http://www.atclindia.com ,1952
Exim Logistics,2524,India,Logistics & Transportation,High,"Bhubaneswar, Odisha, India",4,Ambition box,10000,https://www.eximlogistics.com,2006
Shree Maruti Courier Service,3330,India,Logistics & Transportation,Medium,"Ahmedabad, Gujarat, India (","2,646",Ambition box,10000,https://www.shreemaruti.com,1988
Toll Group,6630,India,Logistics & Transportation,Low,"Chennai, Tamil Nadu, India",29,Ambition box,"16,000",https://tollgroup.com ,1888
Sical Logistics,8000,India,Logistics & Transportation,High,"Chennai, Tamil Nadu, India",29,Ambition box,522,https://www.sical.in,1955
MRC Logistics,5060,India,Logistics & Transportation,High,"Pimpri?Chinchwad, Maharashtra, India",29,Ambition box,919,http://www.mrcindia.com,1971
Rhenus Logistics,1675,India,Logistics & Transportation,High,Mumbai/Delhi,69 offices,Ambition box,"1,800",https://www.rhenus.group/ ,1912
Shipping Corporation of India,56058,India,Logistics & Transportation,High,"Mumbai, Maharashtra, India",4,Ambition box,1000,http://www.shipindia.com,1961
Vinsum Axpress,2330,India,Logistics & Transportation,Low,"Gurugram, Haryana, India",75 branches,Ambition box,249,https://vinsumaxpress.com,2002
Avvashya Cci Logistics,1800,India,Logistics & Transportation,Low,"Mumbai, Maharashtra, India",4,Ambition box,249,http://www.avvashyacci.com ,2015
Apollo Supply Chain,5000,India,Logistics & Transportation,Low,Delhi NCR,2,Ambition box,249,https://apollosupplychain.com/,2000
BVC Logistics,5000,India,Logistics & Transportation,Low,"Mumbai, Maharashtra, India",3,Ambition box,1500,http://bvclogistics.com,1960
Gojavas,5000,India,Logistics & Transportation,High,"Gurugram, Haryana, India",300,Ambition box,5000,http://gojavas.com ,2013
DelEx Cargo,5000,India,Logistics & Transportation,Medium,"Mumbai, Maharashtra, India",3,Ambition box,5000,http://www.delex.in,2009
NimbusPost,2200,India,Logistics & Transportation,High,"Delhi?NCR, India",2,Ambition box,1500,https://nimbuspost.com ,2018
Hind Terminals,17600,India,Logistics & Transportation,Low,"Mumbai, India",3,Ambition box,1500,https://hindterminals.com,2005
Sampark Logistics,1320,India,Logistics & Transportation,Medium,"Faridabad, Haryana, India",4,Ambition box,786,https://samparkglobal.com,1997
Sohan Lal Commodity Management,4823,India,Logistics & Transportation,Medium,"Delhi, India",15,Ambition box,15000,https://www.sohanlal.in,2009
Total Shipping & Logistics,5000,India,Logistics & Transportation,High,"Mumbai, Maharashtra, India",2,Ambition box,500,https://www.totalgroup.in,1984
Connect India E Commerce Services,868,India,Logistics & Transportation,High,"Bangalore & New?Delhi, India",5,Ambition box,500,https://connectindia.com ,2014
Dachser,74100,India,Logistics & Transportation,High,"Kempten, Germany",3,Ambition box,34000,https://www.dachser.com ,1930
APL Logistics,133600,India,Logistics & Transportation,Medium,Mumbai,230,Ambition box,15000,https://www.apllogistics.com ,1980
SHREE VASU LOGISTICS,1461,India,Logistics & Transportation,High,"Raipur, Chhattisgarh, India",6,Ambition box,5000,https://www.shreevasulogistics.com,1987
Seashell Logistics,5410,India,Logistics & Transportation,High,Navi Mumbai,4,Ambition box,15000,https://www.seashellgroup.in/ ,2005
Ritco Logistics,2520,India,Logistics & Transportation,Low,"Gurugram, Haryana (India)",300,Ambition box,1000,https://www.ritcologistics.com,1996
Shree Shubham Logistics,2000,India,Logistics & Transportation,High,"Jaipur, India",20,Ambition box,1000,www.ssll.in,2007
Geodis Overseas,0,India,Logistics & Transportation,High,"Levallois-Perret, France",170,Ambition box,15000,www.geodis.com,1904
Amazon Distribution,41500,India,Logistics & Transportation,Medium,"Seattle, USA",1000,Ambition box,15000,www.amazon.com,1994
Techmihirnaik group,500,India,Logistics & Transportation,Low,"Pune, India",3,Ambition box,200,www.techmihirnaik.com,2019
Transworld Group of Companies,166,India,Logistics & Transportation,Low,"Dubai, UAE",30,Ambition box,15000,www.transworld.com,1977
ShipBob,41500,India,Logistics & Transportation,Low,"Chicago, USA",10,Ambition box,2500,www.shipbob.com,2014
LPS Bossard,4521,India,Logistics & Transportation,High,"Rohtak, Haryana, India",75,Ambition box,108,https://www.bossard.com/in-en,1831
North West Carrying Co.,2111,India,Logistics & Transportation,Medium,"Gurgaon, Haryana, India",28,Ambition box,5000,http://www.nwccindia.com,1998
Gateway Distriparks,15270,India,Logistics & Transportation,Medium,"Mumbai, Maharashtra, India",10,Ambition box,2500,https://gatewaydistriparks.com,1994
Diptab Ventures,560,India,Logistics & Transportation,Medium,"Bengaluru, Karnataka, India",1,Ambition box,168,https://www.letstransport.in,2015
Parekh Group,800,India,Logistics & Transportation,Medium,India (HQ unspecified),15,Ambition box,1000,https://www.parekhgroup.in,2012
Freight Tiger,705,India,Logistics & Transportation,Low,"Mumbai, Maharashtra, India",1,Ambition box,300,https://www.freighttiger.com,2014
Surat Goods Transport,8300,India,Logistics & Transportation,High,Surat,250,Ambition box,15000,sgtpl.com,1960
TM International Logistics,20750,India,Logistics & Transportation,Medium,Kolkata,20,Ambition box,1200,tmilltd.com,2002
Bothra Group,24900,India,Logistics & Transportation,Medium,Visakhapatnam,25,Ambition box,3500,bothragroup.com,1977
Drive India Enterprise Solutions Limited (DIESL),41500,India,Logistics & Transportation,Low,Mumbai,100,Ambition box,15000,diesl.in,2003
Liladhar Pasoo,8300,India,Logistics & Transportation,Medium,Mumbai,15,Ambition box,1000,liladharpasoo.com,1926
Seaways Shipping Logistics,20750,India,Logistics & Transportation,Low,Mumbai,30,Ambition box,25000,seawaysindia.com,1989
Solaimalai Enterprises,2075,India,Logistics & Transportation,High,Madurai,20,Ambition box,500,solaimalai.com,1989
Rcpl Logistics,5810,India,Logistics & Transportation,Low,Mumbai,60,Ambition box,1000,rcplindia.com,1992
Cargomen Logistics,4150,India,Logistics & Transportation,Low,Chennai,10,Ambition box,800,cargomen.com,2000
Fleeca India,1245,India,Logistics & Transportation,High,Jaipur,5,Ambition box,300,fleeca.in,2016
Catbus Infolabs,1660,India,Logistics & Transportation,Low,Bangalore,7,Ambition box,250,whistledrive.com,2016
Teamglobal Logistics,16600,India,Logistics & Transportation,Low,Mumbai,30,Ambition box,1000,teamglobal.in,2005
DGS Translogistics India,5810,India,Logistics & Transportation,High,New Delhi,50,Ambition box,900,dgstransport.com,1992
Supreme Group,8300,India,Logistics & Transportation,High,Chennai,40,Ambition box,1200,supremelogistics.com,1996
Driver Logistics,2490,India,Logistics & Transportation,High,Kochi,15,Ambition box,400,driverlogistics.in,2019
UDAAN CARGO & LOGISTICS,16600,India,Logistics & Transportation,Low,Mumbai,100,Ambition box,3500,udaan.com,2016
Navkar Corporation,12450,India,Logistics & Transportation,Medium,Mumbai,10,Ambition box,"2,000",navkarcorporation.com,2007
FIT 3PL Warehousing,2490,India,Logistics & Transportation,Medium,Mumbai,12,Ambition box,500,fit3pl.com,2010
Swamy Sons Agencies,1660,India,Logistics & Transportation,Low,Chennai,5,Ambition box,200,swamysons.com,1991
Dexters Logistics,2075,India,Logistics & Transportation,Medium,Mumbai,10,Ambition box,400,dexters.in,2009
Hansol Logistics,4980,India,Logistics & Transportation,Low,Mumbai,8,Ambition box,500,hansollogistics.com,2006
TruKKer,4150,India,Logistics & Transportation,High,Gurugram,12,Ambition box,800,trukker.com,2016
Sindhu Cargo Services,6640,India,Logistics & Transportation,High,Bangalore,15,Ambition box,1000,sindhucargo.com,1987
Avinash Cargo,2490,India,Logistics & Transportation,Low,Mumbai,15,Ambition box,600,avinashcargo.com,1995
Yamato Logistics,8300,India,Logistics & Transportation,High,Mumbai,10,Ambition box,700,yamatoindia.com,2007
Uniworld Logistics,16600,India,Logistics & Transportation,Low,Bangalore,25,Ambition box,1200,uniworldlogistics.com,2002
Matson,3420,United States,Logistics & Supply chain,Medium,"Honolulu, Hawaii, USA",5,ocean.io,5000,https://www.matson.com/,1882
Stord,62250,United States,Logistics & Supply chain,High,"Atlanta, Georgia, USA",2,ocean.io,200,https://www.stord.com/,2018
Port of Los Angeles,58681,United States,Logistics & Supply chain,Low,"San Pedro, California",3,ocean.io,1000,https://www.portoflosangeles.org/,1907
Mentum,4492,United States,Logistics & Supplychain,Low,San Francisco,1,ycombinator.com,10,http://getmentum.com,2021
Nash,316,United States,Logistics & Supplychain,Medium,San Francisco,2,ycombinator.com,40,https://www.usenash.com/,2021
Optimal Dynamics,1245,United States,Logistics & Supplychain,Medium,"New York, NY",2,ycombinator.com,200,https://optimaldynamics.com,2014
Augment (Augie),546,United States,Logistics & Supplychain,Low,"Chicago, IL & San Francisco, CA",1,ycombinator.com,50,https://goaugment.com,2024
Swap,720,United States,Logistics & Supplychain,Low,USA,3,ycombinator.com,50,https://www.swap-asia.com,2012
FourKites,9486,United States,Logistics & Supplychain,High,"Chicago, IL",2,ycombinator.com,50,https://www.fourkites.com,2014
Shipwell,2905,United States,Logistics & Supplychain,High,"Austin, TX",1,ycombinator.com,200,https://www.shipwell.com,2016
ShipBob,62250,United States,Logistics & Supplychain,High,"Chicago, IL",3,ycombinator.com,1,http://shipbob.com,2014
GrubMarket,1660,United States,Logistics & Supplychain,Medium,San Francisco,2,ycombinator.com,4548,http://grubmarket.com,2014
Flexport,2158,United States,Logistics & Supplychain,High,San Francisco,1,ycombinator.com,3000,https://www.flexport.com/careers/jobs/,2013
Gatik,24319,United States,Logistics & Supplychain,Medium,"Palo Alto, CA",5,ocean.io,200,https://gatik.ai,2017
Pickle Robot,623,United States,Logistics & Supplychain,Low,USA,1,ocean.io,200,https://picklerobot.com,2012
Freightos,118,United States,Logistics & Supplychain,Medium,USA / Hong Kong,2,ocean.io,500,https://www.freightos.com,2012
GreyOrange,293,United States,Logistics & Supplychain,Medium,USA (global HQ),1,ocean.io,200,https://www.greyorange.com,2011
